candidate_id,ticker,event_date,release_timing,event_type,analysis_scope,sample_role,reaction_date,previous_close_date,fifth_session,previous_close,reaction_close,fifth_close,forward_count,reaction_volume,prior_volume_avg,prior_volume_count,benchmark,benchmark_previous_close,benchmark_reaction_close,benchmark_fifth_close,benchmark_forward_count,actual_eps,consensus_eps,eps_eligible,eps_surprise_pct,eps_difference,return_1d_pct,return_5d_pct,benchmark_return_1d_pct,benchmark_return_5d_pct,volume_ratio_60d,excess_return_1d_pp,excess_return_5d_pp,calculated_pattern
C01,INTC,2020-07-23,amc,earnings,eps_and_price,divergence_candidate,2020-07-24,2020-07-23,2020-07-30,53.843162536621094,45.098106384277344,42.780357360839844,5,182269900,22438015.000000000000,60,SOXX,89.38617706298828,87.98257446289062,92.59033966064453,5,1.23,1.11,t,10.8108108108108108,0.12,-16.24172084319128569500,-20.54635102137054352800,-1.57026807300257974900,3.5846287456709900,8.1232631317877272,-14.67145277018870594600,-24.13097976704153352800,divergent
C02,NVDA,2023-05-24,amc,guidance,qualitative,qualitative,2023-05-25,2023-05-24,2023-06-01,30.47547149658203,37.9022331237793,39.688568115234375,5,1543911000,436895183.33333333,60,SOXX,140.6161346435547,149.981201171875,158.22703552246094,5,,,f,,,24.3696365059691300,30.2311864795451600,6.6600227292974900,12.5240968424767100,3.5338247224896925,17.7096137766716400,17.7070896370684500,
C03,NVDA,2023-08-23,amc,earnings,eps_and_price,comparison,2023-08-24,2023-08-23,2023-08-30,47.02439880371094,47.0713005065918,49.168212890625,5,1156044000,501004633.33333333,60,SOXX,163.42724609375,158.0260467529297,165.71446228027344,5,2.70,2.09,t,29.1866028708133971,0.61,0.09973908029454433500,4.5589399151337600,-3.30495646834916578800,1.3995317434471000,2.3074517141857437,3.40469554864371012300,3.1594081716866600,aligned
C04,NVDA,2024-08-28,amc,earnings,eps_and_price,divergence_candidate,2024-08-29,2024-08-28,2024-09-05,125.40330505371094,117.39649963378906,107.03358459472656,5,453023300,345163603.33333333,60,SOXX,223.17674255371094,222.53456115722656,210.4816436767578,5,0.68,0.64,t,6.2500000000000000,0.04,-6.38484401706360152200,-14.64851380999609662300,-0.28774566253462952100,-5.68836104142790228900,1.3124886159057269,-6.09709835452897200100,-8.96015276856819433400,divergent
C06,AVGO,2024-12-12,amc,guidance,qualitative,qualitative,2024-12-13,2024-12-12,2024-12-19,177.9083251953125,221.37600708007812,214.99472045898438,5,121336600,22060246.666666666667,60,SOXX,215.14369201660156,221.14520263671875,210.25550842285156,5,,,f,,,24.4326294663533300,20.8457896632759900,2.7895359440304100,-2.27205527056438325900,5.5002376824435629,21.6430935223229200,23.11784493384037325900,
C07,MU,2024-12-18,amc,guidance,qualitative,qualitative,2024-12-19,2024-12-18,2024-12-26,103.36690521240234,86.64314270019531,89.3591537475586,5,91396800,22194213.333333333333,60,SOXX,213.84622192382812,210.25550842285156,221.72198486328125,5,,,f,,,-16.17902991082338382900,-13.55148578363651992000,-1.67911009541032234200,3.6829095546324300,4.1180463856644915,-14.49991981541306148700,-17.23439533826894992000,
C09,NVDA,2025-02-26,amc,earnings,eps_and_price,divergence_candidate,2025-02-27,2025-02-26,2025-03-05,131.08421325683594,119.97081756591797,117.12507629394531,5,443175800,238757560.00000000,60,SOXX,216.17723083496094,203.58985900878906,204.95867919921875,5,0.89,0.84,t,5.9523809523809524,0.05,-8.47805804741969188900,-10.64898405084082223700,-5.82270934711973657100,-5.18951583957836806600,1.8561749416437327,-2.65534870029995531800,-5.45946821126245417100,divergent
C10,INTC,2024-01-25,amc,guidance,qualitative,qualitative,2024-01-26,2024-01-25,2024-02-01,48.89515686035156,43.07312774658203,42.78696060180664,5,127665300,40652713.333333333333,60,SOXX,201.84423828125,196.40328979492188,193.50540161132812,5,,,f,,,-11.90716931412594952000,-12.49243616497726394900,-2.69561743880283367500,-4.13132261833629114300,3.1403881692521713,-9.21155187532311584500,-8.36111354664097280600,
C11,NVDA,2022-11-16,amc,earnings,eps_and_price,comparison,2022-11-17,2022-11-16,2022-11-23,15.870665550231934,15.638242721557617,16.478158950805664,5,710894000,601663183.33333333,60,SOXX,119.76407623291016,120.70210266113281,123.9901123046875,5,0.58,0.70,t,-17.1428571428571429,-0.12,-1.46448066679169842000,3.8277752035726800,0.7832285420867200,3.5286341319568900,1.1815481147799443,-2.24770920887841842000,0.2991410716157900,aligned
C12,SOXX,2022-10-07,intraday,macro,macro_price,macro,2022-10-07,2022-10-06,2022-10-13,112.51615905761719,105.76485443115234,101.16230010986328,5,3969000,2934100.000000000000,60,SPY,355.2166748046875,345.30828857421875,348.3350830078125,5,,,f,,,-6.00029780878642241200,-10.09086965183359526200,-2.78939220291862189400,-1.93729413199951201700,1.3527146314031560,-3.21090560586780051800,-8.15357551983408324500,
